state,start,end,type
BE,2018-07-22,2018-09-30,uni
HH,2018-07-17,2018-09-30,uni
MV,2018-07-14,2018-10-14,uni
BY,2018-07-14,2018-10-14,uni
BE,2019-02-17,2019-04-07,uni
HH,2019-02-03,2019-03-30,uni
MV,2018-12-22,2019-01-04,uni
BE,2018-12-22,2019-01-05,uni
HH,2018-12-23,2019-01-06,uni
BY,2018-12-24,2019-01-06,uni
BE,2019-07-14,2019-10-13,uni
HH,2019-07-14,2019-10-13,uni
BE,2019-02-16,2019-04-19,uni
HH,2019-12-22,2020-01-05,uni
BE,2019-12-21,2019-01-04,uni
HH,2020-02-02,2020-04-19,uni
MV,,2022-10-09,uni
HH,2018-05-20,2018-05-27,uni
HH,2018-02-04,2018-04-02,uni
HH,2020-05-31,2020-06-07,uni
HH,2020-07-16,2020-11-01,uni
HH,2020-12-20,2021-01-03,uni
HH,2021-02-21,2021-04-04,uni
HH,2021-07-11,2021-10-10,uni
HH,2021-12-19,2022-01-02,uni
HH,2022-01-30,2022-04-03,uni
HH,2022-05-22,2022-05-29,uni
HH,2022-07-17,2022-10-16,uni
HH,2022-12-24,2022-01-08,uni
HH,2022-02-05,2023-04-02,uni
HH,2023-05-14,2023-05-21,uni
HH,2023-07-16,2023-10-15,uni
HH,2023-12-24,2024-01-07,uni
HH,2024-02-04,2024-04-01,uni
HH,2024-05-19,2024-05-26,uni
HH,2024-07-14,2024-10-13,uni
HH,2024-12-21,2025-01-05,uni
MV,2023-01-28,2023-04-02,uni
MV,2023-07-15,2023-10-15,uni
MV,2024-01-27,2024-04-07,uni
MV,2024-07-20,2024-10-13,uni
MV,2025-02-01,,uni
MV,2019-02-02,2019-04-19,uni
MV,2019-07-11,2019-11-01,uni
MV,,2018-04-03,uni
MV,2020-12-21,2021-01-01,uni
MV,,2020-11-01,uni
MV,,2019-10-14,uni
MV,2019-02-02,,uni
MV,2021-12-22,2021-12-31,schule
MV,2021-12-22,2021-12-31,uni
MV,2021-01-29,2021-04-05,uni
MV,2021-07-18,2021-10-10,uni
MV,2023-12-27,2023-12-30,uni
MV,2022-01-29,2022-04-03,uni
MV,2022-07-16,2022-10-09,uni
SH,2018-02-19,2018-03-31,uni
SH,2019-02-18,2019-03-30,uni
SH,2018-09-30,2018-10-13,uni
SH,2019-09-02,2019-10-12,uni
SH,2019-07-01,2019-08-10,schule
SH,2019-10-04,2019-10-18,schule
SH,2018-03-29,2018-04-13,schule
SH,2019-04-04,2019-04-18,schule
SH,2020-03-30,2020-04-17,schule
SH,2020-02-24,2020-04-04,uni
SH,2020-06-26,2020-08-08,schule
SH,2020-09-07,2020-10-17,uni
