id,adresse,ort,plz,typ,min_vorlauf_temp,max_vorlauf_temp,source,primary_energy,Building ID,Creation Date,Country,postal_code,Function,Height (m),Storeys Above Ground,ground_surface
33920b20-2ae7-4e6b-912b-5fc4294d6ed5,Am Kielortplatz 1,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0005vC5p,2023-08-15,Deutschland,22850,31001_1010,26.345,8,547.960037002189
a0bb40c4-7d73-4c5d-91bd-d82fe748a75d,Friedrichsgaber Weg 424,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7oH,2023-08-15,Deutschland,22846,31001_1010,18.084,4,1144.430903994138
9500b2eb-c260-4200-b657-125604911644,Friedrichsgaber Weg 432 A,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
4ccc1cea-534d-4dbe-bf66-0d31d887088e,Friedrichsgaber Weg 453,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z6T7,2023-08-15,Deutschland,22846,31001_1010,25.786,4,1128.890419486966
cae17ef4-cfad-4446-8b09-3cf946bf1378,Hasenstieg 13,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7pB,2023-08-15,Deutschland,22846,31001_3021,8.586,1,1714.1421299993767
10af300b-a270-4e41-928d-e4048b2fdf00,Heidehofweg 120,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
7d201def-a050-4a5d-9e4f-e3a4537ae209,Heidehofweg 122a,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012IT8,2023-08-15,Deutschland,22850,31001_1010,15.527,3,616.8056909977805
e7ad9b75-bc6c-4891-a8fd-45e393ec8526,Heidehofweg 122a+b +124,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
573a7d1e-de3f-49e1-828b-07d463d1fa4d,Heidehofweg 99a+b,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
fb684f25-a63d-4d3e-9277-6d759bbc7507,Heidehofweg 99c,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
d4847556-40f8-4940-b21d-3390fe2c2547,Hirschkamp 22,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
2b9a3bc7-252f-4a10-8ccb-5ccce53e896a,Kielort 14,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
5c8f03f4-9165-43a2-8c42-1e813326934e,Kielort 16,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00012IWL,2023-08-15,Deutschland,22850,31001_1010,22.541,5,1847.2238055050993
8ff79953-ad51-40b5-a025-f24418cae4b1,Kielort 19,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
8f7b3862-a50d-44eb-8ac9-de0cf48a6bd2,Kielort 20,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
d5fb4343-04d4-4521-8a4b-feaf772ff376,Kielort 21,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
44201958-2d6b-4952-956c-22ea951a6442,Kielort 22,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
61470655-33c1-4717-b729-baa6658a6aeb,Kielort 23a,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I3G,2023-08-15,Deutschland,22850,31001_1010,16.014,4,407.0829674988483
edcafda6-fe6f-4ca3-bb3d-f0c5fbac8f4c,Kielort 24,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
a9644794-439b-401c-b879-8c0225e16b99,Kielort 25,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
0c9ad311-b86f-4371-a695-512ca49c70a7,Kielortring 14,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
7dd30c54-3be7-4a3c-b5e0-9841bb3ffddb,Kielortring 16,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
2f025f96-af2c-4140-b955-766a791fa925,Kielortring 22,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
4f36b3bd-337e-4b93-9333-c53a28d0c417,Kielortring 24,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
5e2fd59d-603a-488b-a525-513541039c4a,Kielortring 51,Norderstedt,22850,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK00014I4G,2023-08-15,Deutschland,22850,31001_3063,8.487,1,723.9200009931908
72013db2-014c-4c4f-8eee-ce179b77ba6f,Moorbekstraße 120,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
1657f5b3-fad0-4685-b56c-d57982d5a35c,Moorbekstraße 15,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0004Vcfa,2023-08-15,Deutschland,22846,31001_3021,11.382,2,7052.559212514891
d00d6502-a08d-45df-99e3-7d8cd55200d1,Moorbekstraße 17,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z7q2,2023-08-15,Deutschland,22846,31001_3022,13.257,2,7687.641454498236
42d6efdc-d590-40b7-af9a-90121d04d3a9,Moorbekstraße 19,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,,,,,,,,
2a5d5a37-a843-4621-b20a-a0c1a5e42e49,Moorbekstraße 25,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0000Z6ZZ,2023-08-15,Deutschland,22846,31001_1010,8.146,2,444.08647100116104
c00c8cba-b6de-4c10-89c0-e923127acc4e,Moorbekstraße 29,Norderstedt,22846,Mehrfamilienhaus,75,90,dh,district heating,DESHPDHK0007sekW,2023-08-15,Deutschland,22846,31001_1000,9.845,2,747.2229205011432
