id,adresse,plz,ort,Objekttitel,qmbehfl,anzlwhg,comment
400884GVG,Rautenbergstraße 45,24306,Plön,Gas,250,1,wohngeb
400238GVG,Süntelstraße 5,22457,Hamburg,Gaszähler BHKW,"610,2",20,wohngeb
400818GVG,Von-Bodelschwingh-Straße 1,24568,Kaltenkirchen,Gaszähler Turnhalle,?,?,Schulgebäude
400965GVG,Sievekingsallee 110-111,20535,Hamburg,Gaszähler,6139,?,wohngeb
400968GVG,Homannstraße 3-7a,21075,Hamburg,Gas Zähler,?,?,wohngeb
400731GVG,Fehrsstraße 3,25336,Elmshorn,Gaszähler,?,?,wohngeb
400304GVG,Baumschulenweg 11,21465,Reinbek,Gaszähler,2643,32,wohngeb
400926GVG,Schellingstraße 21/23,95447,Bayreuth,Gaszähler,2488,60,wohngeb
400969GVG,Heimfelder Straße 34-38,21075,Hamburg,Gas Zähler,?,?,wohngeb
400300GVG,Leo-Leistikow-Allee 47-89,22081,Hamburg,Gaszähler,"917,13",?,wohngeb
400943GVG,Rugenbarg 53 a,22848,Norderstedt,Gaszähler,2000,1,Gewerbe
400444GVG,Brockhausweg 52 a,22117,Hamburg,Gaszähler,?,?,wohngeb
400053GVG,Eggerskoppel 13-19,21465,Reinbek,Gaszähler,?,?,wohngeb
400451GVG,"Furchenacker, 28",22523,Hamburg,Gaszähler,?,?,wohngeb
400097GVG,Walddörferstraße 197,22041,Hamburg,Gaszähler,"3167,3",29,wohngeb
400853GVG,Saseler Weg 11,22359,Hamburg,Gas,?,?,Gewerbe
400974GVG,Kapellenweg 63,21077,Hamburg,Gesamt Gaszähler,7511,1,Schulgebäude
400982GVG,Nöltingsstraße 10-12,22765,Hamburg,Gaszähler,?,?,?
400455GVG,Von-Bodelschwingh-Straße 1,24568,Kaltenkirchen,Gaszähler,3659,?,Schulgebäude
400961GVG,Veilchenweg 1a,22529,Hamburg,Gaszähler,?,?,lt. Doku Fernwärme
400915GVG,Heerstraße 9 ,23823,Seedorf,Gaszähler,?,?,?
400303GVG,Hövelnstraße 30,23566,Lübeck,Gaszähler,?,?,wohngeb
400917GVG,An den Kleingärten 2,24619,Bornhöved,Gaszähler,?,?,?
400959GVG,Fallreep 28-42,21129,Hamburg,Gas Zähler,?,?,wohngeb
